Date,Open,High,Low,Close,Adj Close,Volume
7/22/2015,71.269997,71.940002,71.169998,71.360001,63.412666,739700
7/23/2015,71.260002,71.260002,70.699997,70.82,62.932804,1164800
7/24/2015,70.860001,71.010002,69.68,70,62.204117,715800
7/27/2015,69.519997,69.709999,68.57,69.540001,61.795364,1404100
7/28/2015,69.639999,69.709999,68.629997,69.309998,61.590973,1337100
7/29/2015,69.589996,70.199997,69.099998,70.040001,62.610023,2291600
7/30/2015,69.57,70.169998,69.07,70.07,62.636837,1197600
7/31/2015,70.199997,71.209999,69.879997,71.139999,63.593342,1478000
8/3/2015,71.110001,71.349998,69.669998,70.18,62.735165,1653500
8/4/2015,70.209999,70.25,69.470001,69.589996,62.207775,1699600
8/5/2015,69.889999,70.699997,69.760002,70.410004,62.940796,3451100
8/6/2015,72.300003,74.099998,71.82,73.760002,65.935432,3842000
8/7/2015,73.489998,73.489998,72.389999,72.989998,65.247093,1695800
8/10/2015,73.43,73.639999,72.489998,72.75,65.032547,1243800
8/11/2015,72.160004,72.879997,71.830002,72.519997,64.826965,1555600
8/12/2015,71.959999,72.419998,71.690002,72.230003,64.567726,1114900
8/13/2015,72.169998,72.410004,71.480003,71.620003,64.022423,834300
8/14/2015,71.519997,71.82,70.849998,71.629997,64.031364,681300
8/17/2015,71.269997,73.260002,71.059998,73.230003,65.461624,1830900
8/18/2015,73.160004,74.330002,73.120003,73.269997,65.497375,1557800
8/19/2015,72.959999,73.75,72.449997,73.400002,65.613609,1709500
8/20/2015,72.769997,72.839996,71.980003,71.989998,64.35318,1617300
8/21/2015,71.43,71.639999,69.980003,69.980003,62.556412,2143900
8/24/2015,66.519997,68,63.91,66.480003,59.427689,5034500
8/25/2015,68.029999,68.18,65.139999,65.190002,58.27454,2716100
8/26/2015,66.5,66.800003,64.620003,66.68,59.606468,2206200
8/27/2015,67.029999,68.050003,66.139999,67.099998,59.981903,1596900
8/28/2015,66.830002,67.389999,66.650002,67.139999,60.017658,1147300
8/31/2015,67.050003,68.779999,67.029999,68.089996,60.866894,1813700
9/1/2015,66.830002,67.32,66.010002,66.300003,59.266777,1823300
9/2/2015,66.959999,67.169998,65.769997,66.800003,59.71373,1347200
9/3/2015,66.870003,67.93,66.720001,66.959999,59.856766,1606300
9/4/2015,66.459999,67.949997,66.059998,67.269997,60.133888,1596200
9/8/2015,68.25,69.410004,68.019997,69.290001,61.939606,2054600
9/9/2015,69.800003,69.910004,68.269997,68.440002,61.179756,1461900
9/10/2015,68.489998,69.75,68.050003,69.260002,61.912773,1544900
9/11/2015,68.970001,69.379997,68.279999,69.349998,61.99324,1507400
9/14/2015,69.349998,69.550003,68.849998,69.089996,61.760818,1346900
9/15/2015,69.419998,72.709999,68.830002,72.639999,64.934235,3844100
9/16/2015,80.699997,83.300003,80.300003,82.980003,74.17733,20381700
9/17/2015,82.800003,83.75,81.699997,82.599998,73.837639,7079700
9/18/2015,81.519997,84.519997,81.519997,84.379997,75.428825,7130500
9/21/2015,85.760002,85.790001,83.389999,83.669998,74.794136,3932100
9/22/2015,82.809998,83.410004,81.300003,82.889999,74.09687,3324000
9/23/2015,82.949997,83.459999,82.610001,82.790001,74.007507,3151000
9/24/2015,82.239998,82.650002,80.800003,81.110001,72.505722,3224600
9/25/2015,81.699997,82.830002,81.629997,82.300003,73.569466,2112600
9/28/2015,82.5,84.57,82.010002,82.389999,73.649925,4958100
9/29/2015,82.580002,83.349998,80.160004,82,73.301292,5460000
9/30/2015,83.040001,83.870003,81.790001,83.019997,74.213089,2535200
10/1/2015,83.019997,83.82,82.559998,83.239998,74.409752,2271100
10/2/2015,82.459999,83.860001,81.989998,83.839996,74.946091,2256900
10/5/2015,84.400002,85.050003,83.849998,84.260002,75.321564,2669200
10/6/2015,82.230003,82.839996,80.949997,80.989998,72.398445,4301800
10/7/2015,81.5,82.269997,79.459999,82.209999,73.489014,4049200
10/8/2015,81.980003,82.68,80.129997,82,73.301292,3751700
10/9/2015,81.919998,82.419998,81.370003,81.610001,72.952682,3787600
