_id,barrel_class,num_of_breweries_2008,total_barrels_2008,percent_to_total_2008,exports_2008,percent_to_total_exports_2008,num_of_breweries_2009,total_barrels_2009,percent_to_total_2009,exports_2009,percent_to_total_exports_2009,num_of_breweries_2010,total_barrels_2010,percent_to_total_2010,exports_2010,percent_to_total_exports_2010,num_of_breweries_2011,total_barrels_2011,percent_to_total_2011,exports_2011,percent_to_total_exports_2011,num_of_breweries_2012,total_barrels_2012,percent_to_total_2012,exports_2012,percent_to_total_exports_2012,num_of_breweries_2013,total_barrels_2013,percent_to_total_2013,exports_2013,percent_to_total_exports_2013,num_of_breweries_2014,total_barrels_2014,percent_to_total_2014,exports_2014,percent_to_total_exports_2014,num_of_breweries_2015,total_barrels_2015,percent_to_total_2015,exports_2015,percent_to_total_exports_2015,num_of_breweries_2016,total_barrels_2016,percent_to_total_2016,exports_2016,percent_to_total_exports_2016,num_of_breweries_2017,total_barrels_2017,percent_to_total_2017,exports_2017,percent_to_total_exports_2017,num_of_breweries_2018,total_barrels_2018,percent_to_total_2018,exports_2018,percent_to_total_exports_2018,num_of_breweries_2019,total_barrels_2019,percent_to_total_2019,exports_2019,percent_to_total_exports_2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"6,000,001 Barrels and Over",11,"121,637,275.33",61%,"1,567,327.27",38%,18,"171,232,881.59",87%,"3,639,970.11",93%,16,"138,963,353.84",72%,"3,659,459.42",90%,16,"138,963,353.84",72%,"3,578,089.34",81%,17,"157,780,750.15",80%,"4,373,957.04",87%,17,"153,023,498.63",80%,"4,385,750.82",83%,15,"138,677,888.13",72%,"4,331,255.24",79%,15,"136,122,437.44",71%,"4,949,737.19",79%,14,"131,659,359.17",69%,"5,066,076.38",77%,15,"135,615,117.47",73%,"5,331,930.36",78%,15,"131,336,734.02",72%,"5,749,122.46",83%,15,"125,788,474.04",70%,"4,208,092.09",83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Craft Total,"1,677","78,069,590.93",39%,"2,530,302.12",62%,"1,760","25,736,393.41",13%,"294,263.06",7%,743,"53,783,468.39",28%,"390,986.24",10%,"2,077","53,783,468.39",28%,"847,937.72",19%,"2,413","38,366,452.16",20%,"657,258.43",13%,"2,829","38,973,876.12",20%,"925,383.30",17%,"3,358","53,337,250",28%,"1,177,407",21%,"4,489","54,990,581",29%,"1,349,371",21%,"5,082","58,180,554",31%,"1,527,282.99",23%,"5,633","49,966,720",27%,"1,482,249",22%,"5,949.00","51,454,226.30",28%,"1,159,835.78",17%,"6,211","53,931,690",30%,"858,581",17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"1,000,001 to 6,000,000 Barrels (5)",9,"60,822,125.25",30%,"2,170,988.71",53%,4,"9,970,404.28",5%,"14,548.37",0%,5,"17,703,591.00",9%,"37,401.27",1%,14,"31,228,139.35",16%,"448,269.41",10%,8,"18,599,330.06",9%,"227,516.15",5%,8,"18,215,658.71",9%,"530,816.22",10%,11,"31,207,231.60",16%,"654,268.03",12%,10,"28,936,995.81",15%,"781,689.28",12%,11,"31,452,029.38",17%,"945,540.53",14%,9,"22,156,697.28",12%,"1,019,615.28",15%,10,"23,487,380",13%,"737,668",11%,11,"24,402,199.13",14%,"497,195.33",10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"500,001 to 1,000,000 Barrels",7,"4,881,373.45",2%,"49,987.21",1%,7,"4,831,385.68",2%,"21,563.66",1%,9,"13,524,548.35",7%,"16,610.42",0%,11,"8,448,633.99",4%,"50,702.23",1%,7,"4,654,830.64",2%,"4,634.92",0%,7,"4,797,758.09",2%,"4,972.90",0%,6,"3,836,841.48",2%,"9,185.76",0%,7,"5,050,717.11",3%,"16,414.10",0%,6,"4,293,996.90",2%,"4,748.99",0%,10,"6,253,029.02",3%,"94,410.33",1%,10,"5,859,956.25",3%,"111,188.34",2%,12,"7,585,071.90",4%,"137,599.12",3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"100,001 to 500,000 Barrels",30,"7,064,945.49",4%,"262,872.84",6%,27,"5,422,155.72",3%,"128,000.13",3%,11,"8,448,633.99",4%,"254,925.11",6%,41,"7,926,808.21",4%,"242,865.43",5%,39,"7,810,357.34",4%,"236,207.55",5%,38,"7,637,584.41",4%,"275,310.15",5%,44,"9,093,514.82",5%,"344,448.36",6%,49,"10,645,528.10",6%,"336,057.52",5%,45,"10,469,048.22",6%,"276,289.46",4%,40,"8,792,844.25",5%,"235,283.84",3%,42,"8,777,286.22",5%,"170,814.06",2%,42,"8,373,874.82",5%,"80,432.04",2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"60,001 to 100,000 Barrels",20,"1,587,136.10",1%,"5,626.56",0%,19,"1,501,976.56",1%,"95,732.77",2%,41,"7,926,808.21",4%,"12,534.00",0%,16,"1,157,839.90",1%,"11,701.43",0%,20,"1,468,172.46",1%,"97,318.04",2%,24,"1,824,548.27",1%,"24,431.21",0%,20,"1,548,669.55",1%,"20,895.86",0%,24,"1,887,855.83",1%,"23,158.65",0%,38,"3,052,311.48",2%,"48,970.93",1%,41,"3,175,932.85",2%,"47,505.37",1%,40,"3,120,044.87",2%,"72,115.40",1%,33,"2,575,065.63",1%,"67,048.57",1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"30,001 to 60,000 Barrels",26,"1,162,296.26",1%,"12,641.63",0%,32,"1,412,244.73",1%,"14,369.85",0%,16,"1,157,839.90",1%,"42,409.47",1%,43,"1,754,234.55",1%,"52,204.69",1%,50,"2,179,429.59",1%,"62,416.26",1%,52,"2,271,814.70",1%,"58,028.54",1%,62,"2,639,561.55",1%,"40,785.96",1%,56,"2,453,623.13",1%,"29,356.22",0%,53,"2,329,947.35",1%,"85,136.87",1%,53,"2,230,144.53",1%,"27,479.68",0%,53,"2,170,405.47",1%,"43,487.30",1%,64,"2,675,606.37",1%,"39,494.30",1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"15,001 to 30,000 Barrels",43,"895,640.53",0%,"1,138.74",0%,40,"895,133.22",0%,"19,808.10",1%,43,"1,754,234.55",1%,"19,077.36",0%,42,"893,273.36",0%,"40,413.02",1%,44,"913,884.27",0%,"13,281.07",0%,51,"1,087,970.73",1%,"18,103.53",0%,62,"1,310,960.09",1%,"71,296.98",1%,71,"1,509,411.47",1%,"40,755.39",1%,75,"1,577,515.39",1%,"37,302.60",1%,99,"2,062,332.14",1%,"38,491.22",1%,102,"2,124,238.48",1%,"15,417.41",0%,102,"2,166,277.84",1%,"23,889.97",0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"7,501 to 15,000 Barrels",40,"422,694.05",0%,"15,888.96",0%,42,"442,753.54",0%,240.18,0%,42,"893,273.36",0%,"4,521.08",0%,63,"662,095.46",0%,270.75,0%,77,"821,100.64",0%,"11,054.03",0%,81,"842,820.06",0%,"6,428.53",0%,102,"1,042,199.42",1%,"22,024.91",0%,133,"1,427,754.07",1%,"25,574.94",0%,148,"1,550,640.42",1%,"11,813.32",0%,152,"1,565,335.71",1%,"6,874.60",0%,155,"1,618,340.38",1%,"3,983.17",0%,159,"1,680,544.75",1%,"3,115.68",0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"1,001 to 7,500 Barrels",360,"851,718.37",0%,"10,738.76",0%,357,"859,934.81",0%,0.00,0%,63,"662,095.46",0%,"2,227.70",0%,513,"1,254,333.75",1%,930.14,0%,564,"1,402,600.67",1%,"3,610.03",0%,645,"1,693,579.73",1%,"6,369.45",0%,730,"1,959,533.50",1%,"12,954.04",0%,851,"2,242,859.09",1%,"6,661.33",0%,935,"2,461,722.99",1%,"13,608.25",0%,"1,030","2,656,419.36",1%,"11,294.07",0%,"1,132","3,058,297.95",2%,"2,588.08",0%,"1,183","3,151,130.26",2%,"7,509.29",0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
